id,object,requirement,method,actual,instrument,uncertainty,result,operator,date,raw_evidence
I01,壳孔4处,12.000–12.018mm；两孔344±0.01,孔径规/CMM,,,,,,,
I02,衬套4处,装后孔10.025–10.083；外端内缩0–0.05,低测力内径/深度,,,,,,,
I03,杆滑动面,9.964–10.000；Ra0.1–0.3μm,外径千分尺/粗糙度,,,,,,,
I04,杆肩距/总长,372±0.03 / 488±0.05,CMM/长度量仪,,,,,,,
I05,PEEK槽,高1.20±0.02；深1.60±0.02,光学/低测力,,,,,,,
I06,定位键槽,图5/11；侧隙0.02–0.04，顶隙0.05–0.10,组合尺寸算术检查,,,,,,,
I07,闭合功能尺寸,槽后壁R150.20±0.10；内缘R148.60±0.10；共面0.05,CMM/专用量规,,,,,,,
I08,单侧行程/簧长,8±0.20；30±0.20/22±0.20,位移表,,,,,,,
I09,阻力/手力,无簧综合≤1N/侧；全开2–5N/手；峰值≤5N,力传感器+位移记录,,,,,,,
I10,等电位/电位,4支路≤1Ω；离子平衡和晶圆电位各±10V目标,连续性/电位量测,,,,,,,
I11,污染/损伤,按现场批准限值；无新增崩边/划痕,空白和动作见证片,,,,,,,
I12,接头/清洗,16连接窗口/实际扭矩、24h及循环复检；清洗有效,独立工艺卡/原始数据,,,,,,,
