joint,object,type,spec,contact,thread_host,nominal_engagement_mm,test_start_Nm,approved_torque_window,actual_torque_Nm,operator,tool_id,inspection,recheck_24h,recheck_1000cycles
J01,CAP_SCREW_1_L,K2,M4x10,END_COLLAR_1_L,GUIDE_ROD_1,7,0.2,未实测/不得当作起始扭矩直接放行,,,,,,
J02,CAP_SCREW_1_R,K2,M4x10,END_COLLAR_1_R,GUIDE_ROD_1,7,0.2,未实测/不得当作起始扭矩直接放行,,,,,,
J03,CAP_SCREW_2_L,K2,M4x10,END_COLLAR_2_L,GUIDE_ROD_2,7,0.2,未实测/不得当作起始扭矩直接放行,,,,,,
J04,CAP_SCREW_2_R,K2,M4x10,END_COLLAR_2_R,GUIDE_ROD_2,7,0.2,未实测/不得当作起始扭矩直接放行,,,,,,
J05,GROUND_SCREW_FRAME_L,K3,M3x6,GROUND_LUG_FRAME_L,LEFT_CARRIAGE,5.16,0.15,未实测/不得当作起始扭矩直接放行,,,,,,
J06,GROUND_SCREW_FRAME_R,K3,M3x6,GROUND_LUG_FRAME_R,RIGHT_CARRIAGE,5.16,0.15,未实测/不得当作起始扭矩直接放行,,,,,,
J07,GROUND_SCREW_ROD_1,K3,M3x6,GROUND_LUG_ROD_1,GUIDE_ROD_1,5.16,0.15,未实测/不得当作起始扭矩直接放行,,,,,,
J08,GROUND_SCREW_ROD_2,K3,M3x6,GROUND_LUG_ROD_2,GUIDE_ROD_2,5.16,0.15,未实测/不得当作起始扭矩直接放行,,,,,,
J09,PAD_SCREW_01_1,K1,M3x12,PEEK_PAD_01,RIGHT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
J10,PAD_SCREW_01_2,K1,M3x12,PEEK_PAD_01,RIGHT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
J11,PAD_SCREW_02_1,K1,M3x12,PEEK_PAD_02,RIGHT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
J12,PAD_SCREW_02_2,K1,M3x12,PEEK_PAD_02,RIGHT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
J13,PAD_SCREW_03_1,K1,M3x12,PEEK_PAD_03,LEFT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
J14,PAD_SCREW_03_2,K1,M3x12,PEEK_PAD_03,LEFT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
J15,PAD_SCREW_04_1,K1,M3x12,PEEK_PAD_04,LEFT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
J16,PAD_SCREW_04_2,K1,M3x12,PEEK_PAD_04,LEFT_CARRIAGE,4,0.08,未实测/不得当作起始扭矩直接放行,,,,,,
